player_id,first_name,last_name,name,last_season,current_club_id,player_code,country_of_birth,city_of_birth,country_of_citizenship,date_of_birth,sub_position,position,foot,height_in_cm,market_value_in_eur,highest_market_value_in_eur,contract_expiration_date,agent_name,image_url,url,current_club_domestic_competition_id,current_club_name
1001,Bukayo,Saka,Bukayo Saka,2024,1,bukayo-saka,England,London,England,2001-09-05,RW,RW,right,180,120000000,130000000,2027-06-30,Unknown Agency,https://example.com/img/1001.jpg,https://example.com/player/1001,GB1,Arsenal FC
1002,Martin,Ødegaard,Martin Ødegaard,2024,1,martin-ødegaard,Norway,London,Norway,1998-12-17,CAM,CAM,right,180,100000000,110000000,2027-06-30,Unknown Agency,https://example.com/img/1002.jpg,https://example.com/player/1002,GB1,Arsenal FC
1003,Reece,James,Reece James,2024,2,reece-james,England,London,England,1999-12-08,RB,RB,right,180,65000000,85000000,2027-06-30,Unknown Agency,https://example.com/img/1003.jpg,https://example.com/player/1003,GB1,Chelsea FC
1004,David,Raya,David Raya,2024,1,david-raya,Spain,London,Spain,1995-09-15,GK,GK,right,180,35000000,40000000,2027-06-30,Unknown Agency,https://example.com/img/1004.jpg,https://example.com/player/1004,GB1,Arsenal FC
1005,Robert,Sánchez,Robert Sánchez,2024,2,robert-sánchez,Spain,London,Spain,1997-11-18,Goalkeeper,Goalkeeper,right,180,12000000,20000000,2027-06-30,Unknown Agency,https://example.com/img/1005.jpg,https://example.com/player/1005,GB1,Chelsea FC
1006,Vinícius,Júnior,Vinícius Júnior,2024,3,vinícius-júnior,Brazil,London,Brazil,2000-07-12,LW,LW,right,180,200000000,200000000,2027-06-30,Unknown Agency,https://example.com/img/1006.jpg,https://example.com/player/1006,ES1,Real Madrid
1007,Jude,Bellingham,Jude Bellingham,2024,3,jude-bellingham,"England, United Kingdom",London,England,2003-06-29,CAM,CAM,right,180,180000000,180000000,2027-06-30,Unknown Agency,https://example.com/img/1007.jpg,https://example.com/player/1007,ES1,Real Madrid
1008,Robert,Lewandowski,Robert Lewandowski,2024,4,robert-lewandowski,Poland,London,Poland,1988-08-21,ST,ST,right,180,30000000,100000000,2027-06-30,Unknown Agency,https://example.com/img/1008.jpg,https://example.com/player/1008,ES1,FC Barcelona
1009,Pedri,González,Pedri,2024,4,pedri-gonzález,Spain,London,Spain,2002-11-25,CM,CM,right,180,100000000,100000000,2027-06-30,Unknown Agency,https://example.com/img/1009.jpg,https://example.com/player/1009,ES1,FC Barcelona
1010,Harry,Kane,Harry Kane,2024,5,harry-kane,England,London,England,1993-07-28,ST,ST,right,180,90000000,150000000,2027-06-30,Unknown Agency,https://example.com/img/1010.jpg,https://example.com/player/1010,L1,FC Bayern München
1011,Joshua,Kimmich,Joshua Kimmich,2024,5,joshua-kimmich,Germany,London,Germany,1995-02-08,CDM,CDM,right,180,60000000,90000000,2027-06-30,Unknown Agency,https://example.com/img/1011.jpg,https://example.com/player/1011,L1,FC Bayern München
1012,Manuel,Neuer,Manuel Neuer,2024,5,manuel-neuer,Germany,London,Germany,1986-03-27,GK,GK,right,180,6000000,70000000,2027-06-30,Unknown Agency,https://example.com/img/1012.jpg,https://example.com/player/1012,L1,FC Bayern München
